PNAME,Island,Area Council,Village_Name,Male,Female,Totpop,HH,X,Y,,
MALAMPA,Ambrym,North Ambrym,Wilit,77,90,167,38,-16.125228,168.183256,,
MALAMPA,Ambrym,North Ambrym,Wou,55,47,102,20,-16.115503,168.163874,,
MALAMPA,Ambrym,West Ambrym,Baiap,156,148,304,69,-16.284963,167.963426,,
MALAMPA,Ambrym,West Ambrym,Bwele,6,3,9,3,2,2,,
MALAMPA,Ambrym,West Ambrym,Enmila,29,39,68,14,2,2,,
MALAMPA,Ambrym,West Ambrym,Ewu,16,13,29,6,-16.273305,167.954651,,
MALAMPA,Ambrym,West Ambrym,Fali,89,84,173,36,2,2,,
MALAMPA,Ambrym,West Ambrym,Graigcove,16,12,28,6,-16.25489,167.923833,,
MALAMPA,Ambrym,West Ambrym,Lalinda,67,60,127,37,-16.341308,168.056443,,
MALAMPA,Ambrym,West Ambrym,Lalinda S.D.A,99,79,178,43,-16.347053,168.071961,,
MALAMPA,Ambrym,West Ambrym,Lanver,7,7,14,4,-16.338837,168.054476,,
MALAMPA,Ambrym,West Ambrym,Lele,18,17,35,9,-16.262882,167.954273,,
MALAMPA,Ambrym,West Ambrym,Lolibulo,35,34,69,14,-16.246073,167.95267,,
MALAMPA,Ambrym,West Ambrym,Lolonwei,28,24,52,15,-16.327635,168.037299,,
MALAMPA,Ambrym,West Ambrym,Lonmei,81,69,150,36,-16.323846,168.035581,,
MALAMPA,Ambrym,West Ambrym,Malvet,34,30,64,12,-16.269762,167.93602,,
MALAMPA,Ambrym,West Ambrym,Maranata,42,37,79,19,1,1,,
MALAMPA,Ambrym,West Ambrym,Melkon,14,10,24,6,-16.243807,167.944008,,
MALAMPA,Ambrym,West Ambrym,Melten,15,15,30,6,1,1,,
MALAMPA,Ambrym,West Ambrym,Meltugon,45,34,79,18,-16.261111,167.986394,,
MALAMPA,Ambrym,West Ambrym,Pelipetakever,25,19,44,10,-16.253159,167.971665,,
MALAMPA,Ambrym,West Ambrym,Port Vato,84,116,200,50,-16.334142,168.039102,,
MALAMPA,Ambrym,West Ambrym,Ravolvert,10,9,19,5,1,1,,
MALAMPA,Ambrym,West Ambrym,Sanesup,46,28,74,18,-16.324752,168.011533,,
MALAMPA,Ambrym,West Ambrym,Sesivi,223,264,487,101,-16.305394,167.984089,,
MALAMPA,Ambrym,West Ambrym,Sulol,11,11,22,6,1,1,,
MALAMPA,Ambrym,West Ambrym,Tobol,15,9,24,5,-16.240304,167.966932,,
MALAMPA,Ambrym,West Ambrym,Tou,18,10,28,5,-16.233506,167.966075,,
MALAMPA,Ambrym,West Ambrym,Wakon,22,21,43,10,-16.224399,167.918091,,
MALAMPA,Ambrym,West Ambrym,Wuro,72,77,149,35,-16.259875,167.924099,,
MALAMPA,Ambrym,West Ambrym,Yaliviliv,14,18,32,7,1,1,,
MALAMPA,Ambrym,West Ambrym,Yautilie,22,18,40,9,1,1,,
MALAMPA,Ambrym,West Ambrym,Yelahae,38,52,90,19,-16.292955,167.972073,,
MALAMPA,Ambrym,West Ambrym,Yelevak,5,2,7,1,1,1,,
MALAMPA,Ambrym,West Ambrym,Yelovuvu,12,10,22,5,-16.281874,167.98587,,
MALAMPA,Ambrym,West Ambrym,Yenteneleo,14,10,24,3,1,1,,
MALAMPA,Paama,Paama,Hingal,30,33,63,10,-16.508845,168.228506,,
MALAMPA,Paama,Paama,Hollen,2,2,4,2,0,0,,
MALAMPA,Paama,Paama,Kelai,8,10,18,5,-16.488436,168.214603,,
MALAMPA,Paama,Paama,Lehili,31,23,54,9,0,0,,
MALAMPA,Paama,Paama,Liro,176,187,363,68,-16.450244,168.22631,,
MALAMPA,Paama,Paama,Liro Nessa,83,73,156,37,-16.449503,168.230921,,
MALAMPA,Paama,Paama,Lulep,64,72,136,32,-16.464238,168.251177,,
