Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Continent,date
Bolivia,"5,579",+392,230,+15,575,"4,774",3,"14,803",South America,24-May-2020
Cameroon,"4,400",,159,,"1,822","2,419",28,,Africa,24-May-2020
Azerbaijan,"3,982",+127,49,+3,"2,506","1,427",42,"265,067",Asia,24-May-2020
Luxembourg,"3,981",,109,,"3,748",124,5,"65,724",Europe,24-May-2020
Iraq,"3,964",,147,,"2,532","1,285",,"175,830",Asia,24-May-2020
Hungary,"3,713",+35,482,+6,"1,655","1,576",21,"159,260",Europe,24-May-2020
Honduras,"3,477",+273,167,+11,439,"2,871",13,"11,820",North America,24-May-2020
Sudan,"3,378",,137,,372,"2,869",,394,Africa,24-May-2020
Uzbekistan,"3,089",+61,13,,"2,525",551,4,"460,000",Asia,24-May-2020
Guinea,"3,067",,19,,"1,575","1,473",24,"13,726",Africa,24-May-2020
Thailand,"3,040",+3,56,,"2,916",68,61,"328,073",Asia,24-May-2020
Senegal,"2,976",+67,34,+1,"1,416","1,526",6,"34,082",Africa,24-May-2020
Greece,"2,874",,169,,"1,374","1,331",19,"147,958",Europe,24-May-2020
Guatemala,"2,743",+231,51,+3,222,"2,470",5,"25,464",North America,24-May-2020
Tajikistan,"2,551",,44,,"1,089","1,418",,,Asia,24-May-2020
Bulgaria,"2,408",+36,126,+1,808,"1,474",29,"73,210",Europe,24-May-2020
Bosnia and Herzegovina,"2,391",+19,141,,"1,662",588,4,"58,694",Europe,24-May-2020
Ivory Coast,"2,341",,29,,"1,146","1,166",,"22,233",Africa,24-May-2020
Djibouti,"2,270",,10,,"1,064","1,196",,"22,097",Africa,24-May-2020
Croatia,"2,243",,99,,"2,023",121,6,"60,864",Europe,24-May-2020
DRC,"2,025",+80,63,,312,"1,650",,,Africa,24-May-2020
North Macedonia,"1,941",+20,113,+1,"1,411",417,21,"24,762",Europe,24-May-2020
Cuba,"1,916",,81,,"1,631",204,4,"90,911",North America,24-May-2020
Estonia,"1,821",+14,64,,"1,526",231,2,"75,249",Europe,24-May-2020
El Salvador,"1,819",+94,33,,570,"1,216",25,"70,225",North America,24-May-2020
Iceland,"1,804",+1,10,,"1,791",3,,"58,225",Europe,24-May-2020
Gabon,"1,728",,12,,402,"1,314",6,"8,622",Africa,24-May-2020
Lithuania,"1,616",+12,63,+2,"1,135",418,17,"264,882",Europe,24-May-2020
Somalia,"1,594",,61,,204,"1,329",2,,Africa,24-May-2020
Mayotte,"1,521",,19,,894,608,11,"5,200",Africa,24-May-2020
Slovakia,"1,504",+1,28,,"1,280",196,1,"156,765",Europe,24-May-2020
New Zealand,"1,504",,21,,"1,455",28,1,"255,850",Australia/Oceania,24-May-2020
Slovenia,"1,468",,106,,"1,340",22,3,"75,110",Europe,24-May-2020
Kyrgyzstan,"1,365",+15,14,,957,394,5,"98,281",Asia,24-May-2020
Maldives,"1,274",,4,,109,"1,161",9,"11,775",Asia,24-May-2020
Kenya,"1,192",+31,50,,380,762,1,"57,650",Africa,24-May-2020
Guinea-Bissau,"1,114",,6,,42,"1,066",,"1,500",Africa,24-May-2020
Lebanon,"1,097",+11,26,,667,404,4,"71,814",Asia,24-May-2020
Sri Lanka,"1,085",+17,9,,660,416,1,"51,094",Asia,24-May-2020
Hong Kong,"1,066",,4,,"1,029",33,1,"202,930",Asia,24-May-2020
Tunisia,"1,048",,47,,903,98,3,"46,628",Africa,24-May-2020
Latvia,"1,046",+16,22,,712,312,2,"97,846",Europe,24-May-2020
Albania,989,+8,31,,783,175,5,"13,133",Europe,24-May-2020
Mali,969,,62,,560,347,,"3,483",Africa,24-May-2020
Equatorial Guinea,960,,11,,165,784,,854,Africa,24-May-2020
Venezuela,944,,10,,262,672,2,"735,426",South America,24-May-2020
Niger,937,,60,,764,113,,"5,971",Africa,24-May-2020
Cyprus,927,,17,,561,349,10,"95,349",Asia,24-May-2020
Zambia,920,,7,,336,577,1,"20,011",Africa,24-May-2020
Costa Rica,911,,10,,600,301,4,"22,554",North America,24-May-2020
Paraguay,838,,11,,264,563,,"22,868",South America,24-May-2020
Burkina Faso,814,,52,,672,90,,,Africa,24-May-2020
Haiti,812,+78,25,,22,765,,"2,582",North America,24-May-2020
Andorra,762,,51,,652,59,3,"3,750",Europe,24-May-2020
Uruguay,753,,20,,603,130,5,"37,178",South America,24-May-2020
Georgia,728,+5,12,,509,207,6,"45,707",Asia,24-May-2020
Diamond Princess,712,,13,,651,48,4,,,24-May-2020
Jordan,700,,9,,461,230,5,"159,320",Asia,24-May-2020
San Marino,665,+4,42,+1,266,357,1,"3,968",Europe,24-May-2020
Chad,611,,58,,196,357,,,Africa,24-May-2020
Malta,609,+9,6,,473,130,1,"59,511",Europe,24-May-2020
